Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,thscode,thsname_cn,thsname_en,currency
2026-05-20T04:00:00.000Z,60.8100013733,61.7000007629,59.6800003052,59.7999992371,61776800,0.0,0.0,0.0,XLE,NA,NA,USD
2026-05-21T04:00:00.000Z,60.4799995422,60.5900001526,58.7200012207,59.1300010681,45851100,0.0,0.0,0.0,XLE,NA,NA,USD
2026-05-22T04:00:00.000Z,58.9900016785,59.6100006104,58.8300018311,59.4900016785,42428900,0.0,0.0,0.0,XLE,NA,NA,USD
2026-05-26T04:00:00.000Z,58.8699989319,59.5699996948,57.8400001526,57.8499984741,38819900,0.0,0.0,0.0,XLE,NA,NA,USD
2026-05-27T04:00:00.000Z,57.0099983215,57.5,56.4799995422,56.9900016785,48329800,0.0,0.0,0.0,XLE,NA,NA,USD
2026-05-28T04:00:00.000Z,57.5499992371,57.6800003052,56.6800003052,56.9500007629,46554100,0.0,0.0,0.0,XLE,NA,NA,USD
2026-05-29T04:00:00.000Z,56.6800003052,56.7900009155,55.9900016785,56.2900009155,32389600,0.0,0.0,0.0,XLE,NA,NA,USD
2026-06-01T04:00:00.000Z,57.0299987793,57.8100013733,56.8499984741,57.2999992371,55879400,0.0,0.0,0.0,XLE,NA,NA,USD
2026-06-02T04:00:00.000Z,57.1899986267,58.1699981689,57.0800018311,57.9599990845,23842600,0.0,0.0,0.0,XLE,NA,NA,USD
2026-06-03T04:00:00.000Z,58.2400016785,59.3800010681,58.0099983215,58.7099990845,46312800,0.0,0.0,0.0,XLE,NA,NA,USD
2026-06-04T04:00:00.000Z,58.5,59.0299987793,58.1699981689,58.75,23916300,0.0,0.0,0.0,XLE,NA,NA,USD
2026-06-05T04:00:00.000Z,58.6699981689,58.7799987793,57.6300010681,57.6699981689,28192200,0.0,0.0,0.0,XLE,NA,NA,USD
