title,summary,description,url
Auto & Transport Roundup: Market Talk,"Find insight on Genco Shipping & Trading, FedEx Freight, Volvo and more in the latest Market Talks covering Auto and Transport.",,https://www.wsj.com/business/auto-transport-roundup-market-talk-01d76129?siteid=yhoof2&yptr=yahoo
"Broadcom, Quantinuum, Strategy, FedEx Freight, and More Stocks That Explain Today’s Market","Investors are slamming the brakes on the AI rally, dragging down shares in Broadcom, Micron, and Nvidia.",,https://www.barrons.com/articles/stock-movers-a58d829c?siteid=yhoof2&yptr=yahoo
FedEx Freight Stock Is a Haven in the Market Selloff. Here’s Why.,"FedEx Freight  bucked the market trend on Friday, making it one of the best-performing stocks in the S&P 500 on a tough day for the market.  Shares of the company, which spun out of  FedEx  on June 1, gained 6.4% on Friday, closing at $167.84, while the  and  fell 2.6% and 4.2%.  FedEx Freight is likely avoiding the drawdown because shares are very new.",,https://www.barrons.com/articles/fedex-freight-stock-market-price-buy-cce5913d?siteid=yhoof2&yptr=yahoo
🔎 Under the Radar: Transportation Stocks Defy Market Sell-off,"Transportation stocks offered a rare bright spot in an otherwise bleeding market today. The Dow Jones Transportation Average, which tracks 20 large U.S. companies ranging from airlines to railroads to truckers, was up about 1.",,https://www.wsj.com/livecoverage/may-jobs-report-stock-market-06-05-2026/card/-under-the-radar-transportation-stocks-defy-market-sell-off-t8osUP8xLv69vnM2skXS?siteid=yhoof2&yptr=yahoo
Is FedEx a Buy Following Its FedEx Freight Spinoff?,The company's Network 2.0 initiative can now go into full swing.,,https://www.fool.com/investing/2026/06/05/is-fedex-a-buy-following-its-fedex-freight-spinoff/
Can Improving Bookings Support a SendTech Recovery at Pitney Bowes?,"Can PBI's first bookings increase in years, alongside subscription growth, help SendTech shift from stabilization toward sustainable growth?",,https://finance.yahoo.com/markets/stocks/articles/improving-bookings-support-sendtech-recovery-131800621.html
Can AI gains give alternative delivery providers an edge?,"As parcel carriers like SpeedX and Veho deploy in-house AI tools, experts say the technology could help upstarts close the gap with FedEx and UPS.",,https://www.supplychaindive.com/news/can-ai-gains-give-alternative-delivery-providers-an-edge/821623/
FedEx Stock: Is FDX Outperforming the Industrial Sector?,"FedEx has outpaced its sector peers recently, and analysts remain moderately optimistic about the stock’s prospects.",,https://www.barchart.com/story/news/2311449/fedex-stock-is-fdx-outperforming-the-industrial-sector
FedEx partner airline says Caribbean service at risk without FAA waiver,"A FedEx air cargo contractor says it wants to use bigger aircraft on Caribbean routes, but that FAA rules governing how far the planes can fly over water jeopardize continued service. The post FedEx partner airline says Caribbean service at risk without FAA waiver appeared first on FreightWaves.",,https://finance.yahoo.com/economy/policy/articles/fedex-partner-airline-says-caribbean-140038315.html
Jim Cramer Highlights FedEx’s New Spin-off,"FedEx Corporation (NYSE:FDX) was among the stocks Jim Cramer talked about as he discussed the recent rally in several AI-related stocks. Cramer highlighted the company’s new spin-off, as he commented: Today, the long awaited break up of FedEx finally arrived as FedEx Freight, their former, less than truckload business, began regular way trading on the […]",,https://finance.yahoo.com/markets/stocks/articles/jim-cramer-highlights-fedex-spin-105815634.html
